experiment_id,model_name,fold,fit_time,score_time,train_size,validation_size,train_roc_auc,validation_roc_auc,train_average_precision,validation_average_precision,train_f1,validation_f1,train_precision,validation_precision,train_recall,validation_recall,train_accuracy,validation_accuracy,train_balanced_accuracy,validation_balanced_accuracy
M01-LR-002,Logistic Regression L2 Balanced,1,0.6089050769805908,0.5929179191589355,128000,32000,0.8619224412146034,0.8587100753130072,0.512127397005627,0.5017101667677885,0.4172751929897768,0.4183323576147863,0.28516839193543786,0.28609013955616563,0.7774236181295188,0.7779160186625195,0.781796875,0.78265625,0.7798545346872787,0.7805508528261356
M01-LR-002,Logistic Regression L2 Balanced,2,0.6572210788726807,0.6088719367980957,128000,32000,0.8621916654234082,0.8573136226612759,0.5107664215954058,0.5034296247147134,0.41843067600041794,0.41587167581257917,0.2861225422953818,0.2853997682502897,0.7783565264712742,0.7660964230171073,0.7825703125,0.78378125,0.7806987996400944,0.7759264467004939
M01-LR-002,Logistic Regression L2 Balanced,3,0.658358097076416,0.5750179290771484,128000,32000,0.8603917650742199,0.8650175699635508,0.5062665302357608,0.5221003134119098,0.4170056532532282,0.42318014089231804,0.2849607982893799,0.2897335783187873,0.7770953195459493,0.7845149253731343,0.7816640625,0.7850625,0.7796348768516108,0.7848193025976289
M01-LR-002,Logistic Regression L2 Balanced,4,0.63543701171875,0.592303991317749,128000,32000,0.8621481316725366,0.8579072354666356,0.5125262738416435,0.49723986597243075,0.41785744129689983,0.4130705911698678,0.28569388104896304,0.2819203268641471,0.7775618099828954,0.7723880597014925,0.782296875,0.77940625,0.7801938181912601,0.7762892216239536
M01-LR-002,Logistic Regression L2 Balanced,5,0.7856788635253906,0.675806999206543,128000,32000,0.8624608222325376,0.8561085514444178,0.51031850624824,0.5076723688057574,0.4194470526864893,0.4098387900947316,0.286655448763654,0.2796552506237242,0.7814492302907791,0.7667910447761194,0.7826328125,0.7780625,0.7821071300405589,0.7730564451229124
