experiment_id,model_name,fold,fit_time,score_time,train_size,validation_size,train_roc_auc,validation_roc_auc,train_average_precision,validation_average_precision,train_f1,validation_f1,train_precision,validation_precision,train_recall,validation_recall,train_accuracy,validation_accuracy,train_balanced_accuracy,validation_balanced_accuracy
M01-ET-001,Extra Trees Baseline,1,5.550445795059204,0.9056072235107422,128000,32000,0.9096581439986231,0.8447102465833062,0.6710931542858393,0.46448115124781514,0.5245850460481815,0.4399958510527954,0.3942130987292278,0.3300653594771242,0.7837984917981808,0.6597200622083982,0.857234375,0.83128125,0.8246185281454578,0.7550815006195717
M01-ET-001,Extra Trees Baseline,2,4.851714134216309,1.0193047523498535,128000,32000,0.9089178768499881,0.8470843987075305,0.6693615905796485,0.4728501122682314,0.5256070295845682,0.4392407674850423,0.39483654259266493,0.3286000926068838,0.7858975355671305,0.6622083981337481,0.8574375,0.830125,0.8256637073772667,0.7555440114691669
M01-ET-001,Extra Trees Baseline,3,4.909218072891235,0.9360158443450928,128000,32000,0.909386654790829,0.8538105120416538,0.6703072824260999,0.48688874706398877,0.5267127919679551,0.44559692977906856,0.39575515947467166,0.33431906614785994,0.787202612346447,0.667910447761194,0.85784375,0.83296875,0.8264688216763588,0.7596604767988849
M01-ET-001,Extra Trees Baseline,4,4.898558139801025,0.9250140190124512,128000,32000,0.9102444640613384,0.8469013888658432,0.6735614828151592,0.47308997853451934,0.5262528902860409,0.44323770491803277,0.3951773381716025,0.3305317848410758,0.78743585756492,0.6725746268656716,0.8575390625,0.8301875,0.8264030544577365,0.7601860071515685
M01-ET-001,Extra Trees Baseline,5,4.734374046325684,1.0253469944000244,128000,32000,0.9112432682006635,0.8472212247717775,0.6787646352861154,0.4799839543509378,0.5297339593114241,0.44164361102571986,0.3985791663395871,0.3293596209689745,0.789535064531177,0.6700870646766169,0.859140625,0.82971875,0.8282256434017903,0.7588206307263018
