configuration_id,ROC-AUC,Average Precision,F1,Balanced Accuracy,convergence_rate,mean_n_iter,nonzero_coefficient_count,selection_stability,fit_time,intended_use,strengths,limitations
LR-SELECTED-ROC,0.8592005385126731,0.5075921187936969,0.38588080220855975,0.6271807288642834,1.0,19.6,200.0,0.988,3.3296893918071873,primary ROC-AUC selected candidate,stable dense ranking model,default-threshold trade-off; non-causal coefficients
LR-SELECTED-AP,0.8591791854075652,0.5076262034975068,0.38712626122273075,0.6277782249431967,1.0,23.0,198.4,0.992,5.014174408384133,Average Precision and sparse alternative,supports exact zeros; weak sparsity observed,default-threshold trade-off; non-causal coefficients
LR-SELECTED-BALANCED,0.8590174222233523,0.5064538296644671,0.41611906002976695,0.7781941271357344,1.0,31.4,200.0,0.985,5.528232774802018,recall-oriented default-threshold alternative,stable dense ranking model,default-threshold trade-off; non-causal coefficients
LR-L1-WEAK-REG,0.859192840522913,0.5075749541743859,0.3906536240999036,0.6294670341846106,1.0,21.6,200.0,1.0,4.733500333398115,weak-regularization stability stress test,supports exact zeros; weak sparsity observed,default-threshold trade-off; non-causal coefficients
