configuration,penalty,C,class_weight,ROC-AUC,Average Precision,Precision,Recall,F1,Accuracy,Balanced Accuracy,Generalization Gap,Fit Time,selection_reason
"candidate_002 (l2, C=0.01, None)",l2,0.01,,0.8592005385126731,0.5075921187936969,0.6914274834758013,0.2677575961560781,0.3858808022085597,0.91436875,0.6271807288642834,0.0023249997227312,6.603796863555909,best grid-search ROC-AUC
"candidate_005 (l1, C=0.1, None)",l1,0.1,,0.8591791854075652,0.5076262034975068,0.6906752133582655,0.2690637597394055,0.3871262612227307,0.9144,0.6277782249431967,0.0023288097334578,13.325318336486816,best grid-search Average Precision
"candidate_004 (l2, C=0.01, balanced)",l2,0.01,balanced,0.8590174222233523,0.5064538296644671,0.2845993675653989,0.7736656917589346,0.4161190600297669,0.7818125,0.7781941271357344,0.0028052676734307,12.43403205871582,best grid-search F1 at default threshold
"candidate_004 (l2, C=0.01, balanced)",l2,0.01,balanced,0.8590174222233523,0.5064538296644671,0.2845993675653989,0.7736656917589346,0.4161190600297669,0.7818125,0.7781941271357344,0.0028052676734307,12.43403205871582,best grid-search Balanced Accuracy at default threshold
M01-LR-001,l2,1.0,,0.8591877677367241,0.5075655819077997,0.6888128436747918,0.2724844285570592,0.3903605881459114,0.9144812499999999,0.6293426464034542,0.002336828251161438,0.6449848175048828,registered reference experiment
M01-LR-002,l2,1.0,balanced,0.8590114109697774,0.50643046793452,0.28455981272262276,0.7735412943060745,0.41605871111685666,0.7817937500000001,0.7781284537742248,0.0028115541536836153,0.6691200256347656,registered reference experiment
