configuration_id,fold,feature,coefficient,absolute_coefficient,sign,is_zero,n_iter,converged
LR-SELECTED-ROC,1,var_60,0.03230223059654236,0.03230223059654236,1,False,21,True
LR-SELECTED-ROC,1,var_61,0.02793744020164013,0.02793744020164013,1,False,21,True
LR-SELECTED-ROC,1,var_62,0.047922052443027496,0.047922052443027496,1,False,21,True
LR-SELECTED-ROC,1,var_63,-0.04290619120001793,0.04290619120001793,-1,False,21,True
LR-SELECTED-ROC,1,var_64,-0.060441747307777405,0.060441747307777405,-1,False,21,True
LR-SELECTED-ROC,1,var_65,0.045097630470991135,0.045097630470991135,1,False,21,True
LR-SELECTED-ROC,1,var_66,0.069118931889534,0.069118931889534,1,False,21,True
LR-SELECTED-ROC,1,var_67,0.14121828973293304,0.14121828973293304,1,False,21,True
LR-SELECTED-ROC,1,var_68,-0.04701756313443184,0.04701756313443184,-1,False,21,True
LR-SELECTED-ROC,1,var_69,0.013117724098265171,0.013117724098265171,1,False,21,True
LR-SELECTED-ROC,1,var_70,0.09330965578556061,0.09330965578556061,1,False,21,True
LR-SELECTED-ROC,1,var_71,0.11037267744541168,0.11037267744541168,1,False,21,True
LR-SELECTED-ROC,1,var_72,-0.042910706251859665,0.042910706251859665,-1,False,21,True
LR-SELECTED-ROC,1,var_73,-0.024870077148079872,0.024870077148079872,-1,False,21,True
LR-SELECTED-ROC,1,var_74,0.0620894581079483,0.0620894581079483,1,False,21,True
LR-SELECTED-ROC,1,var_75,-0.12596847116947174,0.12596847116947174,-1,False,21,True
LR-SELECTED-ROC,1,var_76,-0.22100067138671875,0.22100067138671875,-1,False,21,True
LR-SELECTED-ROC,1,var_77,-0.05421809107065201,0.05421809107065201,-1,False,21,True
LR-SELECTED-ROC,1,var_78,0.15369610488414764,0.15369610488414764,1,False,21,True
LR-SELECTED-ROC,1,var_79,0.016982359811663628,0.016982359811663628,1,False,21,True
LR-SELECTED-ROC,1,var_80,-0.17928846180438995,0.17928846180438995,-1,False,21,True
LR-SELECTED-ROC,1,var_81,-0.2668496370315552,0.2668496370315552,-1,False,21,True
LR-SELECTED-ROC,1,var_82,0.08220052719116211,0.08220052719116211,1,False,21,True
LR-SELECTED-ROC,1,var_83,-0.06108033284544945,0.06108033284544945,-1,False,21,True
LR-SELECTED-ROC,1,var_84,0.03133396431803703,0.03133396431803703,1,False,21,True
LR-SELECTED-ROC,1,var_85,-0.05581096559762955,0.05581096559762955,-1,False,21,True
LR-SELECTED-ROC,1,var_86,-0.11990201473236084,0.11990201473236084,-1,False,21,True
LR-SELECTED-ROC,1,var_87,-0.11124614626169205,0.11124614626169205,-1,False,21,True
