precision,recall,threshold
0.1004875,1.0,6.278064002330885e-05
0.10048812805080032,1.0,8.965664624671684e-05
0.10048875610945136,1.0,0.00014252073865655775
0.1004893841759533,1.0,0.00014320965371295396
0.10049001225030625,1.0,0.00015823048870175653
0.10049064033251039,1.0,0.00015826137178769404
0.10049126842256585,1.0,0.00015864650975391955
0.10049189652047277,1.0,0.00016248055094768185
0.10049252462623132,1.0,0.00016583471539815316
0.10049315273984162,1.0,0.00016696873764253796
0.10049378086130382,1.0,0.0001673626071769672
0.10049440899061811,1.0,0.00016850198648810764
0.10049503712778458,1.0,0.00017271308610216239
0.10049566527280342,1.0,0.00017832598836699704
0.10049629342567475,1.0,0.00019115596810967943
0.10049692158639872,1.0,0.0001961728758122426
0.1004975497549755,1.0,0.00019706818437673817
0.10049817793140521,1.0,0.00019966817275792416
0.10049880611568801,1.0,0.00020435897252451851
0.10049943430782406,1.0,0.00021134181014283683
0.10050006250781347,1.0,0.0002124971834199784
0.10050069071565643,1.0,0.00021337124013774735
0.10050131893135306,1.0,0.00021444590610749512
0.10050194715490351,1.0,0.00021710469584144016
0.10050257538630794,1.0,0.00021789533213980236
0.1005032036255665,1.0,0.00021880695539817566
0.1005038318726793,1.0,0.0002192066769395603
0.10050446012764654,1.0,0.00022291673302110993
0.10050508839046833,1.0,0.00022449056998030253
0.10050571666114483,1.0,0.000225674148590313
0.1005063449396762,1.0,0.00022777749288624188
0.10050697322606254,1.0,0.00022857532995197878
0.10050760152030407,1.0,0.00022858983513702157
0.10050822982240087,1.0,0.00023237312371336967
0.10050885813235312,1.0,0.0002332565152828183
0.10050948645016097,1.0,0.00023418423254035402
0.10051011477582456,1.0,0.0002365319699314743
0.10051074310934403,1.0,0.00023822065685962882
0.10051137145071955,1.0,0.00024358979287875465
0.10051199979995123,1.0,0.0002459991343980057
0.10051262815703926,1.0,0.0002460571012841958
0.10051325652198376,1.0,0.0002493859198540879
0.10051388489478488,1.0,0.000254143510297137
0.10051451327544278,1.0,0.0002544204721515301
0.10051514166395759,1.0,0.00025612010421420913
0.10051577006032947,1.0,0.00025844260419159617
0.10051639846455857,1.0,0.00025942086179067095
0.10051702687664502,1.0,0.00025999351220725597
0.10051765529658897,1.0,0.0002617320673269523
0.10051828372439059,1.0,0.0002638576209345454
0.10051891216005002,1.0,0.00026452630672102955
0.10051954060356738,1.0,0.000264909928703435
0.10052016905494286,1.0,0.00026764919350272097
0.10052079751417657,1.0,0.000268980061506015
0.10052142598126868,1.0,0.0002699648692471841
0.10052205445621933,1.0,0.0002709042583447511
0.10052268293902866,1.0,0.00027245433231898845
