configuration_id,feature,mean_coefficient,std_coefficient,mean_absolute_coefficient,min_coefficient,max_coefficient,positive_fold_count,negative_fold_count,zero_fold_count,sign_consistency,selection_frequency,stability_ratio
LR-SELECTED-ROC,var_0,0.16289409399032592,0.0033281964244461846,0.16289409399032592,0.1572859287261963,0.16645441949367523,5,0,0,1.0,1.0,48.943653924338555
LR-SELECTED-ROC,var_1,0.15968469977378846,0.005782478530372002,0.15968469977378846,0.1540350317955017,0.17001311480998993,5,0,0,1.0,1.0,27.615268943075417
LR-SELECTED-ROC,var_2,0.17045870721340178,0.0056491559236468165,0.17045870721340178,0.1629553586244583,0.1785530000925064,5,0,0,1.0,1.0,30.174190537009526
LR-SELECTED-ROC,var_3,0.03575179800391197,0.0034427160826771036,0.03575179800391197,0.0319836400449276,0.04196503013372421,5,0,0,1.0,1.0,10.384765152085551
LR-SELECTED-ROC,var_4,0.03748737797141075,0.0037616633236768585,0.03748737797141075,0.031564295291900635,0.041773729026317596,5,0,0,1.0,1.0,9.9656388001163
LR-SELECTED-ROC,var_5,0.10378824323415756,0.008272814103928147,0.10378824323415756,0.09207171946763992,0.11534125357866287,5,0,0,1.0,1.0,12.54569991907269
LR-SELECTED-ROC,var_6,0.2218133568763733,0.003544917671853482,0.2218133568763733,0.2170019894838333,0.2268897444009781,5,0,0,1.0,1.0,62.57221673652661
LR-SELECTED-ROC,var_7,-0.013471995387226344,0.003240180067150436,0.013471995387226344,-0.016192378476262093,-0.007168281357735395,0,5,0,1.0,1.0,4.157792193034912
LR-SELECTED-ROC,var_8,0.06305688545107842,0.0045466195487504244,0.06305688545107842,0.056782182306051254,0.06922831386327744,5,0,0,1.0,1.0,13.86896017468751
LR-SELECTED-ROC,var_9,-0.13618114590644836,0.0053708429740662615,0.13618114590644836,-0.14490358531475067,-0.13015544414520264,0,5,0,1.0,1.0,25.355637199599617
LR-SELECTED-ROC,var_10,-0.004972408333560452,0.00351400092542252,0.005140368832508102,-0.009587752632796764,0.0004199012473691255,1,4,0,0.8,1.0,1.415027610717621
LR-SELECTED-ROC,var_11,0.07588173151016235,0.003809511284208144,0.07588173151016235,0.06951893866062164,0.0805160403251648,5,0,0,1.0,1.0,19.91902001306998
LR-SELECTED-ROC,var_12,-0.21484948098659515,0.006357393893506686,0.21484948098659515,-0.22365854680538177,-0.20629310607910156,0,5,0,1.0,1.0,33.795213036277424
LR-SELECTED-ROC,var_13,-0.17951396703720093,0.00295984244565791,0.17951396703720093,-0.18495072424411774,-0.17659664154052734,0,5,0,1.0,1.0,60.6498387441313
LR-SELECTED-ROC,var_14,-0.01751116942614317,0.0028471349619154478,0.01751116942614317,-0.021642064675688744,-0.013520249165594578,0,5,0,1.0,1.0,6.150452879957939
LR-SELECTED-ROC,var_15,0.059849171340465544,0.0036212114234249948,0.059849171340465544,0.054076988250017166,0.06426973640918732,5,0,0,1.0,1.0,16.52738941264458
LR-SELECTED-ROC,var_16,0.017144866473972797,0.004508206763971118,0.017144866473972797,0.012343863025307655,0.024855969473719597,5,0,0,1.0,1.0,3.8030346369627583
LR-SELECTED-ROC,var_17,0.0014967508031986654,0.003389723924309472,0.002826505352277309,-0.0024284448008984327,0.007493498269468546,3,2,0,0.6,1.0,0.44155537047267757
LR-SELECTED-ROC,var_18,0.13028773665428162,0.005181281882359339,0.13028773665428162,0.12252537906169891,0.13846224546432495,5,0,0,1.0,1.0,25.145849929119944
LR-SELECTED-ROC,var_19,0.036790679395198825,0.005319792395771524,0.036790679395198825,0.028738874942064285,0.042729493230581284,5,0,0,1.0,1.0,6.9158111178249415
LR-SELECTED-ROC,var_20,-0.06152767986059189,0.003521173298112082,0.06152767986059189,-0.06553303450345993,-0.056714415550231934,0,5,0,1.0,1.0,17.473630137311556
LR-SELECTED-ROC,var_21,-0.18882009088993074,0.007254316475153101,0.18882009088993074,-0.19853487610816956,-0.1803264617919922,0,5,0,1.0,1.0,26.028653634929807
LR-SELECTED-ROC,var_22,0.19732340574264526,0.002730424244540073,0.19732340574264526,0.1941734403371811,0.20185056328773499,5,0,0,1.0,1.0,72.26840522574813
LR-SELECTED-ROC,var_23,-0.09050725102424621,0.004648815692255198,0.09050725102424621,-0.09468958526849747,-0.08159705251455307,0,5,0,1.0,1.0,19.46888347822103
LR-SELECTED-ROC,var_24,0.08550720810890197,0.0046240839714235225,0.08550720810890197,0.0795193612575531,0.09108095616102219,5,0,0,1.0,1.0,18.49170746840363
LR-SELECTED-ROC,var_25,0.05128652602434158,0.006748051323261972,0.05128652602434158,0.04110516980290413,0.06093942001461983,5,0,0,1.0,1.0,7.600197978273269
LR-SELECTED-ROC,var_26,0.19900162220001222,0.004211831154071053,0.19900162220001222,0.19543172419071198,0.20697243511676788,5,0,0,1.0,1.0,47.24824308487572
LR-SELECTED-ROC,var_27,-0.008648993168026208,0.0026506835133431497,0.008648993168026208,-0.01248681079596281,-0.004715482238680124,0,5,0,1.0,1.0,3.262929400846132
LR-SELECTED-ROC,var_28,-0.07576147615909576,0.0029279793778138174,0.07576147615909576,-0.08130950480699539,-0.07284629344940186,0,5,0,1.0,1.0,25.875003332727534
LR-SELECTED-ROC,var_29,0.01685994677245617,0.004040894063645668,0.01685994677245617,0.010937581770122051,0.021969269961118698,5,0,0,1.0,1.0,4.172330802764057
LR-SELECTED-ROC,var_30,-0.0029970542891533114,0.0027203257865303595,0.0032349747270927764,-0.005856569390743971,0.0005948010948486626,1,4,0,0.8,1.0,1.101726235876939
LR-SELECTED-ROC,var_31,-0.08712483644485473,0.0054627475336684805,0.08712483644485473,-0.09780459851026535,-0.0830281525850296,0,5,0,1.0,1.0,15.948904083133227
LR-SELECTED-ROC,var_32,0.09904489368200302,0.0027359445784383356,0.09904489368200302,0.09363728761672974,0.10115847736597061,5,0,0,1.0,1.0,36.201352345568836
LR-SELECTED-ROC,var_33,-0.15318109691143036,0.005115320248624927,0.15318109691143036,-0.16181580722332,-0.1478368639945984,0,5,0,1.0,1.0,29.94555364399737
