metric,baseline_value,tuned_value,absolute_change
ROC-AUC,0.8845963847629816,0.891437809210276,0.006841424447294409
Average Precision,0.5728792216100832,0.5908599650158652,0.01798074340578204
F1,0.3872554085638541,0.4152417723846295,0.027986363820775406
Precision,0.7826709844016149,0.7955265938710814,0.012855609469466511
Recall,0.2573073590059036,0.2809429033461873,0.0236355443402837
Accuracy,0.91818125,0.9204875,0.002306250000000065
Balanced Accuracy,0.6246584605930968,0.6364380168959227,0.0117795563028259
