train_size,train_roc_auc_mean,train_roc_auc_std,validation_roc_auc_mean,validation_roc_auc_std,train_average_precision_mean,train_average_precision_std,validation_average_precision_mean,validation_average_precision_std
12800,0.9892688910352767,0.0012734705285138222,0.8510625095322529,0.0021955147181993515,0.9689602515968299,0.0032078068910857747,0.4753325631849311,0.006617329601301459
32000,0.9898795576423879,0.0014100468658630708,0.8771878899734207,0.0013117970481250833,0.9675006356461784,0.00491307729647822,0.5504900552587028,0.0034967917345332823
64000,0.983864124158778,0.001454740884528715,0.8859808297379498,0.0025064366101154693,0.9363337520804166,0.006106749887852673,0.5748837955719331,0.010079604200390023
96000,0.9801222567129416,0.0014242022319657696,0.8893329407979893,0.0028509890480983386,0.9176754368561093,0.005156219912084337,0.5844800173561614,0.010369326372291793
128000,0.9733422768515279,0.0002471580859013034,0.891244754895687,0.0024557726873307224,0.8876347910838367,0.000779849982285753,0.5898992446048095,0.009346009229572535
