false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,6.219679064560268e-05,0.9880804827247439
0.0,0.005037940042293818,0.9426808223192362
6.948208057142063e-06,0.005037940042293818,0.9424838197337595
6.948208057142063e-06,0.009578305759422813,0.9211223563169849
1.3896416114284126e-05,0.009578305759422813,0.9205818275503476
1.3896416114284126e-05,0.010138076875233238,0.9187353873094779
2.084462417142619e-05,0.010138076875233238,0.9187023037507585
2.084462417142619e-05,0.012190570966538127,0.912162250808466
2.7792832228568253e-05,0.012190570966538127,0.9120815644919374
2.7792832228568253e-05,0.014616245801716632,0.9028485131797694
4.168924834285238e-05,0.014616245801716632,0.9025770637203427
4.168924834285238e-05,0.015362607289463863,0.9003154611430486
4.863745639999444e-05,0.015362607289463863,0.9001198590100306
4.863745639999444e-05,0.018410250031098394,0.8927381599873955
5.5585664457136506e-05,0.018410250031098394,0.8924828443815094
5.5585664457136506e-05,0.01965418584401045,0.8889302976929455
6.253387251427857e-05,0.01965418584401045,0.8888990282218332
6.253387251427857e-05,0.02295061574822739,0.8787008323084035
6.948208057142063e-05,0.02295061574822739,0.8785225662708281
6.948208057142063e-05,0.024878716258241076,0.8724017956063451
7.64302886285627e-05,0.024878716258241076,0.8722657753989593
7.64302886285627e-05,0.02506530663017788,0.8717252868135652
8.337849668570476e-05,0.02506530663017788,0.8715538428026608
8.337849668570476e-05,0.0301654434631173,0.8588816296520032
9.032670474284682e-05,0.0301654434631173,0.8587888650990885
9.032670474284682e-05,0.031844756810548575,0.8544783750288649
9.727491279998888e-05,0.031844756810548575,0.8543620033680314
9.727491279998888e-05,0.033213086204751836,0.8509058473449996
0.00010422312085713095,0.033213086204751836,0.8501942073014176
0.00010422312085713095,0.03402164448314467,0.849092108457638
0.00011117132891427301,0.03402164448314467,0.8488743270805019
0.00011117132891427301,0.0347058091802463,0.8470820597205692
0.00011811953697141507,0.0347058091802463,0.8469518629283508
0.00011811953697141507,0.03582535141186715,0.843951449432359
0.00012506774502855713,0.03582535141186715,0.8438455354488079
0.00012506774502855713,0.036198532155740766,0.8425136862425473
0.0001320159530856992,0.036198532155740766,0.8422118310171536
0.0001320159530856992,0.03650951610896878,0.8420794694412416
0.00013896416114284125,0.03650951610896878,0.8420358451951908
0.00013896416114284125,0.03738027117800721,0.8405600389697168
0.00014591236919998332,0.03738027117800721,0.8404124026388854
0.00014591236919998332,0.03744246796865282,0.8404109149658822
0.0001528605772571254,0.03744246796865282,0.8403070258815106
0.0001528605772571254,0.03769125513123523,0.8400036912941371
0.00015980878531426744,0.03769125513123523,0.8399615470218266
0.00015980878531426744,0.03831322303769125,0.8385588289226149
0.00016675699337140952,0.03831322303769125,0.8383454397909711
0.00016675699337140952,0.03862420699091927,0.8376806006574435
0.00017370520142855156,0.03862420699091927,0.837663911383884
0.00017370520142855156,0.04005473317576813,0.834936507477455
0.00018065340948569364,0.04005473317576813,0.8348013298969478
0.00018065340948569364,0.04086329145416097,0.8336594183672936
0.0001876016175428357,0.04086329145416097,0.833556759582375
0.0001876016175428357,0.04422191814902351,0.8258867400064608
0.00019454982559997776,0.04422191814902351,0.8258616254880132
0.00019454982559997776,0.04434631173031472,0.8255020841669807
0.0002084462417142619,0.04434631173031472,0.8252145487405895
0.0002084462417142619,0.044408508520960316,0.8246268231966698
0.00021539444977140395,0.044408508520960316,0.8245343021414173
0.00021539444977140395,0.04465729568354273,0.8243909469153263
0.00022234265782854602,0.04465729568354273,0.8243614054038656
0.00022234265782854602,0.04484388605547954,0.8240198781202779
0.00022929086588568807,0.04484388605547954,0.8239433873889307
0.00022929086588568807,0.045528050752581165,0.822673013301857
0.00023623907394283014,0.045528050752581165,0.8226533996558658
0.00023623907394283014,0.0462122154496828,0.8206765904960637
0.00024318728199997222,0.0462122154496828,0.8204573447870771
0.00024318728199997222,0.046585396193556415,0.8196743832809525
0.0002570836981142563,0.046585396193556415,0.81957627320997
0.0002570836981142563,0.04664759298420201,0.8194582678836836
0.00027098011422854046,0.04664759298420201,0.8191855282857591
0.00027098011422854046,0.04714516730936684,0.8183307608232955
0.0002779283222856825,0.04714516730936684,0.8182769842022378
0.0002779283222856825,0.04807811916905088,0.8172750659523239
0.0002848765303428246,0.04807811916905088,0.8170473313694092
0.0002848765303428246,0.04814031595969648,0.8169075953405895
0.00029182473839996665,0.04814031595969648,0.8168503678466268
0.00029182473839996665,0.04925985819131733,0.8148973579408043
0.0003057211545142508,0.04925985819131733,0.8147679539967062
0.0003057211545142508,0.049570842144545345,0.8140347626623254
0.00031266936257139284,0.049570842144545345,0.8137951253973091
0.00031266936257139284,0.0510635651200398,0.8122429626718353
0.0003196175706285349,0.0510635651200398,0.811958802336616
0.0003196175706285349,0.051809926607787035,0.8102469433856088
0.000326565778685677,0.051809926607787035,0.8102287803183014
0.000326565778685677,0.05236969772359746,0.8091148039893077
0.00033351398674281904,0.05236969772359746,0.8086523460045505
0.00033351398674281904,0.053053862420699094,0.8080057991096077
0.0003404621947999611,0.053053862420699094,0.8079378793012291
0.0003404621947999611,0.0533026495832815,0.8076717922058603
0.00034741040285710313,0.0533026495832815,0.8075392685385986
0.00034741040285710313,0.05411120786167434,0.8065396666319978
0.00035435861091424523,0.05411120786167434,0.806466990592941
0.00035435861091424523,0.05442219181490235,0.806023500645828
0.0003613068189713873,0.05442219181490235,0.8058184289822857
0.0003613068189713873,0.05641248911556164,0.8018570108787183
0.0003682550270285293,0.05641248911556164,0.8018508548827061
0.0003682550270285293,0.056785669859435256,0.8017044506796268
0.0003752032350856714,0.056785669859435256,0.8016039026405665
0.0003752032350856714,0.057283244184600075,0.8008482012133346
0.00038215144314281347,0.057283244184600075,0.8008362504441969
0.00038215144314281347,0.05740763776589128,0.800577185015896
0.0003890996511999555,0.05740763776589128,0.8005102053946265
0.0003890996511999555,0.05753203134718249,0.8003501138637105
0.00040299606731423966,0.05753203134718249,0.8002695257592405
0.00040299606731423966,0.05902475432267695,0.7976326223311878
0.0004099442753713817,0.05902475432267695,0.7975653729063771
0.0004099442753713817,0.05970891901977858,0.7961524643025158
0.0004168924834285238,0.05970891901977858,0.7961263726354953
0.0004168924834285238,0.05995770618236099,0.7955900985777019
0.00042384069148566585,0.05995770618236099,0.7955871255952589
0.00042384069148566585,0.06288095534270431,0.7917903731466375
0.0004307888995428079,0.06288095534270431,0.7917884402098563
0.0004307888995428079,0.06312974250528673,0.7912500213075363
0.00044468531565709205,0.06312974250528673,0.7909854135625649
0.00044468531565709205,0.06337852966786914,0.790679554688271
0.0004516335237142341,0.06337852966786914,0.7906190182365019
0.0004516335237142341,0.06344072645851474,0.7906185309423887
0.00045858173177137614,0.06344072645851474,0.7905671044929552
0.00045858173177137614,0.06362731683045154,0.790032458263044
0.0004724781478856603,0.06362731683045154,0.7899539773608129
0.0004724781478856603,0.06375171041174275,0.7898354734069406
0.00048637456399994443,0.06375171041174275,0.7898119552048568
0.00048637456399994443,0.064809055852718,0.7887636189374237
0.0004933227720570865,0.064809055852718,0.7887447150218195
0.0004933227720570865,0.06512003980594601,0.7883267504286102
0.0005002709801142285,0.06512003980594601,0.7882632133779979
0.0005002709801142285,0.06586640129369324,0.7871896643037205
0.0005072191881713706,0.06586640129369324,0.7869360622992202
0.0005072191881713706,0.06605299166563006,0.7864903867973617
0.0005141673962285126,0.06605299166563006,0.786367166850747
0.0005141673962285126,0.06611518845627566,0.7863579847558673
0.0005211156042856548,0.06611518845627566,0.786250537991465
0.0005211156042856548,0.0673591242691877,0.7841935449812775
0.0005280638123427968,0.0673591242691877,0.7841680876470182
0.0005280638123427968,0.06742132105983331,0.7840347220704947
0.0005350120203999389,0.06742132105983331,0.7840028110482468
0.0005350120203999389,0.06804328896628933,0.782579488275147
0.0005419602284570809,0.06804328896628933,0.7825257445661862
0.0005419602284570809,0.06922502798855579,0.7806193006664895
0.000548908436514223,0.06922502798855579,0.7805386664129954
0.000548908436514223,0.06966040552307501,0.7800415386923941
0.000555856644571365,0.06966040552307501,0.7798593575937729
0.000555856644571365,0.06972260231372061,0.7797574719237413
0.0005628048526285072,0.06972260231372061,0.7795676842569044
0.0005628048526285072,0.07040676701082224,0.7783376661019689
0.0005697530606856492,0.07040676701082224,0.7783030089987073
0.0005697530606856492,0.07065555417340465,0.7779705005178551
0.0005836494767999333,0.07065555417340465,0.7775636588809482
0.0005836494767999333,0.07364100012439358,0.7734166443917672
0.0005905976848570753,0.07364100012439358,0.7732604300742831
0.0005905976848570753,0.0740141808682672,0.7723228139831331
