candidate_id,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,rank_roc_auc,validation_roc_auc_mean,validation_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,roc_auc_generalization_gap,rank_average_precision,validation_average_precision_mean,validation_average_precision_std,train_average_precision_mean,train_average_precision_std,average_precision_generalization_gap,rank_f1,validation_f1_mean,validation_f1_std,train_f1_mean,train_f1_std,f1_generalization_gap,rank_precision,validation_precision_mean,validation_precision_std,train_precision_mean,train_precision_std,precision_generalization_gap,rank_recall,validation_recall_mean,validation_recall_std,train_recall_mean,train_recall_std,recall_generalization_gap,rank_accuracy,validation_accuracy_mean,validation_accuracy_std,train_accuracy_mean,train_accuracy_std,accuracy_generalization_gap,rank_balanced_accuracy,validation_balanced_accuracy_mean,validation_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,balanced_accuracy_generalization_gap,mean_fit_time,std_fit_time,mean_score_time,std_score_time,fold_1_roc_auc,fold_1_average_precision,fold_2_roc_auc,fold_2_average_precision,fold_3_roc_auc,fold_3_average_precision,fold_4_roc_auc,fold_4_average_precision,fold_5_roc_auc,fold_5_average_precision
candidate_001,0.05,700,63,10,10.0,2,0.8899809702807033,0.0027670479399247894,0.9882958875710794,0.0007851066443544484,0.09831491729037611,3,0.5855421782127997,0.011915569524800171,0.9547773335531117,0.003835343087148292,0.3692351553403119,7,0.3945524686510084,0.008538283469430497,0.8337122858585297,0.014805811642535872,0.43915981720752134,12,0.7970896483903064,0.021620001818028454,0.9876335490851179,0.000977732926578198,0.19054390069481153,7,0.2622207005408417,0.00651833880202371,0.7215609222862521,0.021679150879739924,0.45934022174541045,4,0.9191375,0.001123192993211759,0.9711140625000001,0.0022093805250991343,0.051976562500000045,7,0.627372216458795,0.0033412535333903785,0.860276716036344,0.010856230156937827,0.232904499577549,101.1908251285553,3.8662231437366645,12.76231608390808,0.6006056526291932,0.8858706703935516,0.5773660140676559,0.8901845856190759,0.5771614219028967,0.8944555013806731,0.6062069308520094,0.888934127047503,0.5752012812235197,0.8904599669627128,0.5917752430179171
candidate_002,0.1,700,15,10,0.1,4,0.8881408325554199,0.002494578283316946,0.9632535073499323,0.0025189971021715284,0.07511267479451245,4,0.5814777935666745,0.009067591073413693,0.8388192843468023,0.01036950546626792,0.2573414907801278,3,0.41467422763751205,0.0053717264920342825,0.6319550879220456,0.014172373564689398,0.21728086028453353,16,0.7768402564792274,0.010920521366530505,0.9429898070570244,0.004467853193668171,0.166149550577797,2,0.28287025216065864,0.005112442422365115,0.4753390529839159,0.01519860378161401,0.19246880082325724,2,0.9197625,0.0005578278184171235,0.9443953125,0.0016314669994555594,0.024632812499999934,2,0.6368909961751062,0.0024220517378863667,0.736067096076641,0.007654043415036816,0.09917609990153475,35.49681715965271,2.169778957311289,5.046162080764771,0.23788780742437915,0.885064327665475,0.5774011275228466,0.8889294282624627,0.5753561970439975,0.8924857239995132,0.597803779709484,0.8872430488434703,0.5724264211227947,0.886981634006178,0.5844014424342501
candidate_003,0.05,150,15,10,10.0,19,0.8521873074754562,0.0037880330088516717,0.8889108316837099,0.0006359468916752063,0.036723524208253644,19,0.49058725205729575,0.010162761054068659,0.6005038156764867,0.002898019295186957,0.10991656361919094,19,0.028418574863103608,0.004238896195467492,0.05248609369981425,0.0020166841998240756,0.024067518836710645,2,0.9493009987470045,0.020728639271862727,0.985211126971195,0.0021561906417604517,0.035910128224190485,19,0.014429466199329943,0.00217678172575811,0.026962304673827032,0.0010640517579803466,0.012532838474497088,19,0.9008875,0.0002143303524935019,0.9021812500000002,0.00010659411188006676,0.0012937500000002045,19,0.5071730439961418,0.0010903554314404677,0.5134585706562014,0.0005318972759021554,0.006285526660059548,13.214748239517212,0.509010038391052,2.5607069969177245,0.09667782478829427,0.8482919569684724,0.4819797073282308,0.8525602721522868,0.4914727221284455,0.8592503475016524,0.5094375160354866,0.8500438438885339,0.4815386253712403,0.8507901168663354,0.4885076894230757
candidate_004,0.1,300,31,50,10.0,5,0.8879029744257082,0.002782024910719818,0.9671938073947706,0.00029058941224950624,0.07929083296906236,5,0.5776577713818183,0.008459507064130395,0.8604148617709695,0.0015892437441193377,0.2827570903891512,6,0.3990766813450232,0.003834065949909028,0.6674347194576407,0.0037854816820555547,0.26835803811261744,14,0.7839954974927484,0.016057056852824728,0.9560606099027001,0.001977497561604321,0.1720651124099517,6,0.2676946333650565,0.0026930692465251746,0.5126725634729634,0.003982462690089853,0.24497793010790692,6,0.9189874999999998,0.0007457169369137519,0.9486625,0.0004760473650278682,0.029675000000000118,6,0.629720082881649,0.0014002564138603582,0.7550204648808969,0.002031539479631116,0.12530038199924787,34.02337489128113,0.22812279028486757,5.204139852523804,0.13027278763386108,0.8850645870022051,0.570177789056505,0.8877615377155297,0.574096398864385,0.8931639614946391,0.5918930300955453,0.8863488543248184,0.5696796092386105,0.8871759315913483,0.5824420296540458
candidate_005,0.05,700,31,20,1.0,3,0.8895069374450373,0.0027351428157301465,0.978154676528673,0.0009726506951630422,0.08864773908363577,2,0.5866461561135164,0.010645704149371441,0.9065689935690511,0.0030149266193559465,0.3199228374555346,5,0.4010735677079822,0.006847784755425923,0.7212978690044101,0.006025491320259704,0.32022430129642787,11,0.7988911870749181,0.013318213175643885,0.9747446949810381,0.000877100952108207,0.17585350790611998,5,0.26775711257089363,0.004920658354733953,0.5724902082522157,0.007582457338931501,0.3047330956813221,3,0.91964375,0.000870210103940408,0.95555,0.0007400643975357655,0.03590625000000003,5,0.6301126285312074,0.0026308804560538496,0.7854165302896312,0.003778602070681181,0.1553039017584238,71.93876833915711,2.484625714670732,9.535182523727418,0.4809809788717644,0.8865636181363901,0.5796124646659605,0.8884144287392644,0.5802869299629372,0.8946180173859719,0.6056282588907795,0.8883185020734294,0.5767521695274124,0.8896201208901298,0.5909509575204924
candidate_006,0.03,300,15,10,0.1,18,0.8592826507384214,0.004090539478809104,0.9001619321686706,0.0005198173176884419,0.040879281430249215,18,0.5101655102184472,0.011395307885647157,0.6360789269593398,0.0017663227989856128,0.12591341674089251,18,0.06908092305920094,0.00616819855380968,0.11656713544910517,0.005039480706296569,0.047486212389904234,3,0.9251648511147025,0.02434654369971422,0.9792770115033278,0.003971160892758102,0.05411216038862532,18,0.035887340126738006,0.003309726612232643,0.06197901903984302,0.00283795564865902,0.026091678913105015,18,0.90283125,0.0003886072889177535,0.905609375,0.00029051577248489607,0.0027781250000000757,18,0.5177838613504244,0.0016860817228127518,0.5309165533247595,0.0014230208768011474,0.013132691974335087,24.662167024612426,1.5930924435689258,4.018605518341064,0.1700176048589893,0.8541441496200042,0.5000387689340723,0.8597456068763133,0.5066792176305365,0.8665848814916525,0.5317623575903841,0.8576007085023741,0.5019153392336938,0.8583379072017623,0.5104318677035494
candidate_007,0.1,150,15,20,0.0,17,0.8704196547644207,0.003465008681639813,0.9179720185007725,0.00034803389103820934,0.047552363736351744,17,0.5369063770179049,0.010473341817421405,0.6849640457774345,0.0027163729156369954,0.14805766875952964,15,0.2025759850396797,0.004407336205491973,0.306546256288318,0.00599726904914979,0.10397027124863831,6,0.8741719986930505,0.009395907040207648,0.946820101210486,0.00363971143616213,0.07264810251743548,15,0.11456610802906153,0.0026993451289776525,0.1828896363218117,0.004154279807577806,0.06832352829275018,15,0.90936875,0.00033738423940663805,0.9168593749999999,0.0004511270608154747,0.007490624999999973,15,0.5563624166880791,0.0013851293210096944,0.5908715910791585,0.0020949246257960692,0.03450917439107948,14.757474899291992,0.4135689712929449,2.996586561203003,0.29748706633795563,0.8661083687152377,0.5299957977851049,0.8707304300046114,0.5321676108946819,0.8766179438411056,0.55670954033097,0.8688139347730498,0.5276896828504334,0.8698275964880988,0.5379692532283341
candidate_008,0.15,150,15,10,0.1,13,0.8766615964966125,0.0034182730933649385,0.9307983417671153,0.0005451243790827422,0.05413674527050283,12,0.550822121319566,0.011345765867013536,0.723517727008359,0.0030462142552184447,0.17269560568879305,13,0.30623161283018385,0.005064079355175005,0.4460097051301853,0.004229347326733114,0.13977809230000143,10,0.8184456118530313,0.017042577478920507,0.9275337203480462,0.0035687166196510397,0.10908810849501482,13,0.18839382016821027,0.004020306871289179,0.2935999600976539,0.0034515126878878373,0.10520613992944361,13,0.9142312499999999,0.0004750000000000219,0.9267109375,0.0004000427223278593,0.012479687500000058,13,0.5918553660682309,0.001894668697826114,0.6455189042486152,0.0017488780019943831,0.053663538180384385,14.470592260360718,0.3739956995253962,2.6889055728912354,0.07578484609231176,0.8729063516157622,0.5426368923078148,0.876926978610933,0.543134102945216,0.882763833780652,0.5708318741339079,0.874013561120191,0.5413855964614388,0.8766972573555237,0.5561221407494524
candidate_009,0.15,700,31,10,1.0,11,0.8812930082653118,0.003059941193228237,0.9739778782841426,0.0011213560357944434,0.09268487001883086,11,0.5608155805850684,0.009672720795630835,0.8881885872683238,0.0061753839297356145,0.3273730066832554,4,0.4014777237976171,0.004410013356042278,0.7139657093672629,0.010481632359899995,0.3124879855696458,18,0.755330154302452,0.015996961448860925,0.963464388714697,0.004231965780575789,0.208134234412245,4,0.2734791052513482,0.004748466151093226,0.567172650046113,0.011963271121164904,0.2936935447947647,7,0.91806875,0.0006813360037455597,0.9543484375,0.0013805339631597223,0.03627968749999999,4,0.6317785315645266,0.002099442295113528,0.7823868906554482,0.006077028361347813,0.15060835909092163,29.30742292404175,1.8863772756416448,4.467292022705078,0.3910595779708866,0.8775557405130706,0.5491778164292461,0.8808327194346676,0.5612956008692112,0.8867372766517607,0.5777657228064147,0.8817232084954604,0.5541739573162946,0.8796160962315991,0.5616648055041752
candidate_010,0.15,150,31,10,0.0,12,0.8768812558123897,0.0026708684768616516,0.9636662589974574,0.00010977236207737983,0.08678500318506766,13,0.5466535994560975,0.007508295067755595,0.8417683546973225,0.0014462107155696334,0.295114755241225,10,0.35517856669458114,0.008262216586344722,0.6063586278791205,0.004758620942447675,0.2511800611845394,17,0.7749312969006369,0.012654677976433859,0.9544914472680345,0.0017933082724974308,0.1795601503673976,10,0.23043847635848752,0.006720606861109056,0.44431823557163835,0.004766504791291377,0.21387975921315083,10,0.9159375000000001,0.0007106884866099706,0.9420328125000001,0.0005305694169946331,0.02609531250000008,10,0.6114776291290728,0.0032933228499967618,0.720976185468168,0.002411562349734518,0.10949855633909522,19.963181972503662,2.0287890607885175,3.2429906368255614,0.4077948446433059,0.873392521539131,0.546802582969079,0.8774808894493443,0.5381720435531768,0.8814413225181763,0.5605858739928227,0.8767337381152879,0.5436018737433855,0.8753578074400096,0.5441056230220231
