experiment_id,member,model_name,model_family,branch,date_utc,n_samples,n_features,primary_metric,roc_auc_mean,roc_auc_std,train_roc_auc_mean,roc_auc_generalization_gap,fit_time_mean,fit_time_std,convergence_status,estimator_class,pipeline_steps,summary_file,source_type,status,n_splits,cv_strategy,random_state,target_distribution,data_source,final_test_used,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,missing_metadata,exclusion_reason
M01-DUMMY-001,Member 01,DummyClassifier (most_frequent),DUMMY,feature/data_processing,2026-08-01T13:44:56+00:00,160000,200,roc_auc,0.5,0.0,0.5,0.0,0.1724989891052246,0.019149789366943167,,sklearn.dummy.DummyClassifier,,reports/experiments/M01-DUMMY-001_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",,False,0.10048750000000002,1.5309310892399974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.8995124999999999,1.530931089241357e-05,0.5,0.0,['data_source'],Dummy baseline
M01-DUMMY-002,Member 01,DummyClassifier (prior),DUMMY,feature/data_processing,2026-08-01T13:45:04+00:00,160000,200,roc_auc,0.5,0.0,0.5,0.0,0.17358942031860353,0.03151583220113543,,sklearn.dummy.DummyClassifier,,reports/experiments/M01-DUMMY-002_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",,False,0.10048750000000002,1.5309310892399974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.8995124999999999,1.530931089241357e-05,0.5,0.0,['data_source'],Dummy baseline
M01-DUMMY-003,Member 01,DummyClassifier (stratified),DUMMY,feature/data_processing,2026-08-01T13:45:31+00:00,160000,200,roc_auc,0.49952233096243254,0.0031985518137402176,0.4995012634617245,-2.106750070801633e-05,0.17267279624938964,0.01650356643431027,,sklearn.dummy.DummyClassifier,,reports/experiments/M01-DUMMY-003_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",,False,0.10043521051741364,0.0005613043365328289,0.09941370385117088,0.005773307363894994,0.09962523422860711,0.005792391315112872,0.09920307095935563,0.005754334016676423,0.8193875,0.001145064135758346,0.49952233096243254,0.003198551813740188,['data_source'],Dummy baseline
M01-DUMMY-004,Member 01,DummyClassifier (uniform),DUMMY,feature/data_processing,2026-08-01T13:45:58+00:00,160000,200,roc_auc,0.5,0.0,0.5,0.0,0.17561917304992675,0.02251310385616727,,sklearn.dummy.DummyClassifier,,reports/experiments/M01-DUMMY-004_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",,False,0.10048750000000002,1.5309310892399974e-05,0.16730112178750087,0.002627138670126741,0.10044966275293529,0.0015792624835971644,0.5001857160542544,0.007807567537535286,0.4996625,0.0015691608027860093,0.4998948395527717,0.0043398964738884304,['data_source'],Dummy baseline
