Model,Member,ROC-AUC mean ± std,Average Precision mean ± std,F1,Precision,Recall,Balanced Accuracy,Train-validation gap,Fit time
Logistic Regression L2 Baseline,Member 01,0.859188 ± 0.003239,0.507566 ± 0.008490,0.3903605881459114,0.6888128436747918,0.2724844285570592,0.6293426464034542,0.002336828251161438,0.6449848175048828
Logistic Regression L2 Balanced,Member 01,0.859011 ± 0.003121,0.506430 ± 0.008519,0.41605871111685666,0.28455981272262276,0.7735412943060745,0.7781284537742248,0.0028115541536836153,0.6691200256347656
Logistic Regression L2 C=0.01 (unweighted),Member 01,0.859201 ± 0.003237,0.507592 ± 0.008491,0.3858808022085597,0.6914274834758013,0.2677575961560781,0.6271807288642834,0.0023249997227312,6.603796863555909
Logistic Regression L2 C=0.01 (balanced),Member 01,0.859017 ± 0.003122,0.506454 ± 0.008518,0.4161190600297669,0.2845993675653989,0.7736656917589346,0.7781941271357344,0.0028052676734307,12.43403205871582
