experiment_id,member,model_name,model_family,branch,date_utc,n_samples,n_features,primary_metric,roc_auc_mean,roc_auc_std,train_roc_auc_mean,roc_auc_generalization_gap,fit_time_mean,fit_time_std,convergence_status,estimator_class,pipeline_steps,summary_file,source_type,status,n_splits,cv_strategy,random_state,target_distribution,data_source,final_test_used,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,missing_metadata,rank_roc_auc,rank_average_precision,rank_f1,rank_precision,rank_recall,rank_balanced_accuracy,rank_fit_time,roc_auc_competitive,competitive_tolerance,competitive_method
M01-LR-001,Member 01,Logistic Regression L2 Baseline,LOGISTIC_REGRESSION,feature/data_processing,2026-08-01T14:24:56+00:00,160000,200,roc_auc,0.8591877677367241,0.0032390713059821433,0.8615245959878856,0.002336828251161438,0.6449848175048828,0.07702609625814298,converged,sklearn.pipeline.Pipeline,"['scaler', 'classifier']",reports/experiments/M01-LR-001_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",,False,0.5075655819077997,0.00848952265957052,0.3903605881459114,0.0023705124516162717,0.6888128436747918,0.01840517893911938,0.2724844285570592,0.004297276100250785,0.9144812499999999,0.0008302390469015303,0.6293426464034542,0.0015645099037758397,['data_source'],2.0,2.0,3.0,2.0,3.0,3.0,1.0,True,0.0032365067770609,CV variability heuristic (not a formal statistical test)
M01-LR-002,Member 01,Logistic Regression L2 Balanced,LOGISTIC_REGRESSION,feature/data_processing,2026-08-01T19:28:39+00:00,160000,200,roc_auc,0.8590114109697774,0.0031206740022860662,0.861822965123461,0.0028115541536836153,0.6691200256347656,0.06099795438971107,converged,sklearn.pipeline.Pipeline,"['scaler', 'classifier']",reports/experiments/M01-LR-002_summary.json,registered_experiment,completed,5,StratifiedKFold,42,"{'False': 0.8995125, 'True': 0.1004875}",,False,0.50643046793452,0.00851868349710585,0.41605871111685666,0.004550505268395757,0.28455981272262276,0.0034881769143499837,0.7735412943060745,0.006955296101101157,0.7817937500000001,0.002645795603405533,0.7781284537742248,0.004113206947351078,['data_source'],4.0,4.0,2.0,4.0,2.0,2.0,2.0,True,0.0032365067770609,CV variability heuristic (not a formal statistical test)
M01-LR-SEARCH-001::candidate_002,Member 01,Logistic Regression L2 C=0.01 (unweighted),LOGISTIC_REGRESSION,feature/data_processing,2026-08-01T20:25:50.191129+00:00,160000,200,roc_auc,0.8592005385126731,0.0032365067770609,0.8615255382354043,0.0023249997227312,6.603796863555909,0.7404727518079407,,LogisticRegression,"['scaler', 'classifier']",reports/searches/M01-LR-SEARCH-001_summary.json,grid_search_candidate,completed,5,StratifiedKFold,42,,,False,0.5075921187936969,0.0084913647082042,0.3858808022085597,0.0036704464874788,0.6914274834758013,0.0183580951372356,0.2677575961560781,0.005161247867716,0.91436875,0.0007928883118068,0.6271807288642834,0.0020520213886759,"['target_distribution', 'data_source']",1.0,1.0,4.0,1.0,4.0,4.0,3.0,True,0.0032365067770609,CV variability heuristic (not a formal statistical test)
M01-LR-SEARCH-001::candidate_004,Member 01,Logistic Regression L2 C=0.01 (balanced),LOGISTIC_REGRESSION,feature/data_processing,2026-08-01T20:25:50.191129+00:00,160000,200,roc_auc,0.8590174222233523,0.0031216959917301,0.861822689896783,0.0028052676734307,12.43403205871582,1.8661482303367931,,LogisticRegression,"['scaler', 'classifier']",reports/searches/M01-LR-SEARCH-001_summary.json,grid_search_candidate,completed,5,StratifiedKFold,42,,,False,0.5064538296644671,0.008517913160463,0.4161190600297669,0.004542845804853,0.2845993675653989,0.0034916268871089,0.7736656917589346,0.0068288729403232,0.7818125,0.0026511347806175,0.7781941271357344,0.0040767029486219,"['target_distribution', 'data_source']",3.0,3.0,1.0,3.0,1.0,1.0,4.0,True,0.0032365067770609,CV variability heuristic (not a formal statistical test)
