selection_category,experiment_id,model_name,member,model_family,roc_auc,average_precision,precision,recall,f1,balanced_accuracy,generalization_gap,fit_time,selection_recommendation,rationale
best_roc_auc,M04-HGB-002,HistGradientBoosting Tuned,Member 04,HIST_GRADIENT_BOOSTING,0.8914490594718993,0.5910892652910229,0.7957469720820509,0.28094235277732643,0.41524813752426376,0.6364377416827398,0.08213079696688275,115.01385912895202,retain_for_final_group_review,Best recorded roc_auc_mean; transparent single-metric category.
best_average_precision,M04-HGB-002,HistGradientBoosting Tuned,Member 04,HIST_GRADIENT_BOOSTING,0.8914490594718993,0.5910892652910229,0.7957469720820509,0.28094235277732643,0.41524813752426376,0.6364377416827398,0.08213079696688275,115.01385912895202,retain_for_final_group_review,Best recorded average_precision_mean; transparent single-metric category.
best_f1,M01-LR-SEARCH-001::candidate_004,Logistic Regression L2 C=0.01 (balanced),Member 01,LOGISTIC_REGRESSION,0.8590174222233523,0.5064538296644671,0.2845993675653989,0.7736656917589346,0.4161190600297669,0.7781941271357344,0.0028052676734307,12.43403205871582,retain_for_final_group_review,Best recorded f1_mean; transparent single-metric category.
best_recall,M01-LR-SEARCH-001::candidate_004,Logistic Regression L2 C=0.01 (balanced),Member 01,LOGISTIC_REGRESSION,0.8590174222233523,0.5064538296644671,0.2845993675653989,0.7736656917589346,0.4161190600297669,0.7781941271357344,0.0028052676734307,12.43403205871582,retain_for_final_group_review,Best recorded recall_mean; transparent single-metric category.
best_precision,M04-HGB-002,HistGradientBoosting Tuned,Member 04,HIST_GRADIENT_BOOSTING,0.8914490594718993,0.5910892652910229,0.7957469720820509,0.28094235277732643,0.41524813752426376,0.6364377416827398,0.08213079696688275,115.01385912895202,retain_for_final_group_review,Best recorded precision_mean; transparent single-metric category.
best_balanced_accuracy,M01-LR-SEARCH-001::candidate_004,Logistic Regression L2 C=0.01 (balanced),Member 01,LOGISTIC_REGRESSION,0.8590174222233523,0.5064538296644671,0.2845993675653989,0.7736656917589346,0.4161190600297669,0.7781941271357344,0.0028052676734307,12.43403205871582,retain_for_final_group_review,Best recorded balanced_accuracy_mean; transparent single-metric category.
fastest,M01-LR-001,Logistic Regression L2 Baseline,Member 01,LOGISTIC_REGRESSION,0.8591877677367241,0.5075655819077997,0.6888128436747918,0.2724844285570592,0.3903605881459114,0.6293426464034542,0.002336828251161438,0.6449848175048828,retain_for_final_group_review,Best recorded fit_time_mean; transparent single-metric category.
lowest_generalization_gap,M01-LR-SEARCH-001::candidate_002,Logistic Regression L2 C=0.01 (unweighted),Member 01,LOGISTIC_REGRESSION,0.8592005385126731,0.5075921187936969,0.6914274834758013,0.2677575961560781,0.3858808022085597,0.6271807288642834,0.0023249997227312,6.603796863555909,retain_for_final_group_review,Best recorded roc_auc_generalization_gap; transparent single-metric category.
competitive_candidates,M04-HGB-002,HistGradientBoosting Tuned,Member 04,HIST_GRADIENT_BOOSTING,0.8914490594718993,0.5910892652910229,0.7957469720820509,0.28094235277732643,0.41524813752426376,0.6364377416827398,0.08213079696688275,115.01385912895202,retain_for_final_group_review,"Within one best-model CV standard deviation; heuristic, not a formal test."
